#!,Workbook:,Custom,Custom
#!,Para reproducir estos datos: abra el archivo original de Excel, haga clic en el botón *Importar archivo de datos* de la pestaña *Secuencia de datos* de la cinta de opciones y desplácese hasta este archivo.
#!,Para obtener más información, visite http://aka.ms/hackingstem/
340.02,236.36,202.32,201.15
326.70,235.30,203.16,201.18
414.23,234.68,202.90,197.46
432.39,229.44,202.75,199.59
434.89,226.45,202.82,201.05
261.02,225.43,202.60,198.61
564.05,225.35,200.59,198.65
625.91,223.82,198.64,200.65
245.82,222.54,199.26,199.23
260.23,222.26,198.37,197.94
242.63,221.46,198.53,197.07
576.52,222.84,202.18,194.06
253.32,222.81,200.60,193.72
276.79,222.58,200.93,196.16
243.87,222.09,200.85,200.05
244.95,221.62,201.10,197.99
243.74,221.95,200.40,196.40
460.39,220.54,198.67,195.43
436.45,222.74,194.37,193.90
291.40,224.45,200.71,195.13
469.48,222.99,198.86,194.52
335.22,221.92,198.51,194.96
419.80,222.86,198.43,194.40
444.42,223.21,200.71,195.18
525.59,222.45,198.78,194.87
474.17,224.09,200.54,197.99
402.83,241.21,199.99,197.07
302.17,639.79,200.09,197.43
280.61,760.79,198.08,200.62
386.86,800.14,197.49,201.11
532.91,900.09,195.86,202.53
657.68,712.47,195.46,203.01
301.17,674.99,196.73,203.24
615.15,641.39,198.37,202.41
415.62,658.10,199.24,201.05
511.89,637.36,200.24,199.04
583.97,639.84,201.15,200.29
476.73,647.65,199.68,198.98
260.85,643.71,199.47,200.05
276.55,637.12,198.73,200.06
252.17,600.46,200.75,199.41
445.03,550.40,200.68,199.52
410.52,538.53,201.46,198.41
443.41,516.93,201.15,198.96
679.09,516.20,201.90,200.43
691.83,518.56,201.45,200.98
308.29,500.58,201.42,202.27
356.25,496.69,205.26,202.15
269.55,495.76,202.95,201.45
624.28,494.84,203.20,201.18
263.05,475.17,203.07,201.35
289.92,466.89,204.05,202.60
466.37,464.60,204.99,201.26
763.62,463.73,205.00,200.15
591.79,463.29,207.90,200.73
604.41,464.43,204.88,203.75
498.23,464.85,206.18,200.09
397.58,470.56,206.37,201.20
239.84,466.25,206.06,202.43
237.77,474.94,205.68,203.73
284.11,470.85,206.12,203.99
247.08,473.83,205.78,204.38
250.40,470.08,207.40,206.01
267.22,483.93,207.41,203.12
297.95,491.33,205.90,200.60
267.51,481.71,204.90,201.09
282.56,474.45,207.12,200.70
257.69,472.68,204.18,202.23
257.27,473.83,202.69,200.79
260.17,472.81,204.29,199.19
260.92,468.74,205.54,198.60
277.89,471.82,204.73,199.42
532.52,470.33,203.80,197.27
384.38,475.66,203.79,198.71
608.32,466.98,205.16,199.24
509.78,466.48,204.74,199.29
473.54,503.21,203.79,198.59
464.50,235.54,205.12,199.16
490.29,193.37,206.50,198.10
635.46,192.98,205.94,199.54
412.85,193.37,206.77,199.46
739.71,193.46,207.00,200.90
543.33,192.82,205.93,198.79
409.26,200.97,206.62,201.84
385.66,201.10,208.51,199.84
449.75,204.54,208.62,202.39
301.68,203.92,191.69,204.85
259.49,203.98,191.25,202.68
253.51,203.70,192.10,202.57
387.24,203.50,195.15,204.20
737.34,203.77,195.84,203.19
498.86,204.24,196.19,203.32
326.65,203.51,197.10,201.95
273.03,203.13,198.37,201.01
266.02,202.79,197.86,201.99
368.46,202.79,198.32,201.82
399.81,203.52,199.49,202.99
299.05,204.56,198.53,202.34
285.18,204.23,199.86,203.27
259.21,204.40,202.87,204.45
255.25,202.10,204.40,204.63
254.65,204.37,201.30,203.35
254.55,203.99,199.35,201.61
253.09,203.12,199.96,200.04
374.82,203.78,196.71,202.26
641.17,202.17,198.35,200.44
551.36,203.68,198.76,199.16
432.80,203.14,197.07,205.19
764.75,202.56,193.63,207.03
612.62,203.56,192.54,203.78
300.30,202.49,192.10,204.01
317.11,203.17,191.36,204.93
301.49,201.29,192.01,205.14
500.98,203.43,192.08,202.68
331.14,202.52,194.04,203.44
256.41,201.62,194.65,202.93
294.67,202.94,196.57,202.01
552.76,202.58,198.12,202.88
271.77,203.38,197.82,204.51
472.84,201.57,197.85,209.48
439.48,202.46,194.28,211.36
365.55,202.76,193.84,212.01
585.79,202.16,197.82,209.91
348.98,202.35,197.46,207.74
336.55,201.73,197.62,206.56
