#!,Workbook:,Custom,Custom
#!,Para reproducir estos datos: abra el archivo original de Excel, haga clic en el botón *Importar archivo de datos* de la pestaña *Secuencia de datos* de la cinta de opciones y desplácese hasta este archivo.
#!,Para obtener más información, visite http://aka.ms/hackingstem/
1012.10,452.01,1151.89,921.46
1007.22,451.10,1150.65,904.26
1009.90,450.18,1149.18,916.58
1008.73,450.77,1150.40,914.91
1008.10,450.08,1150.86,899.01
1010.39,450.45,1155.53,879.07
1008.28,450.55,1169.88,871.82
1009.82,450.68,1181.91,879.28
1011.55,452.14,1176.96,848.40
1014.45,451.03,1137.10,826.40
1010.68,451.95,1133.76,896.03
1015.04,454.36,1138.14,917.47
1012.43,455.20,1135.42,926.49
1018.54,454.68,1133.41,922.97
1014.28,454.65,1132.33,924.73
1015.12,452.75,1133.54,926.63
1014.17,453.89,1135.63,926.01
1017.32,454.28,1138.29,922.47
1016.91,454.07,1138.79,922.36
1013.37,453.41,1141.55,912.16
1012.62,453.42,1142.52,910.71
1008.64,453.08,1144.11,894.50
1011.03,453.24,1142.77,887.20
1008.13,453.86,1143.38,885.99
1005.57,453.49,1140.97,950.15
1009.71,456.03,1140.23,921.04
1006.53,456.20,1140.73,917.28
1006.95,456.92,1140.08,912.92
1007.41,456.45,1139.42,914.20
1006.94,457.09,1140.94,922.25
1008.09,455.35,1141.61,926.43
1017.41,456.44,1142.51,926.53
1011.80,456.40,1140.76,919.72
1013.27,457.40,1138.95,922.98
1013.99,456.37,1139.19,920.22
1015.28,456.46,1139.49,928.36
1015.13,456.20,1139.53,935.55
1020.71,455.65,1139.43,936.97
1017.86,455.42,1139.54,937.68
