#!,Workbook:,Custom,Custom
#!,Para reproducir estos datos: abra el archivo original de Excel, haga clic en el botón *Importar archivo de datos* de la pestaña *Secuencia de datos* de la cinta de opciones y desplácese hasta este archivo.
#!,Para obtener más información, visite http://aka.ms/hackingstem/
923.49,634.07,1380.40,860.76
923.31,635.57,1366.61,876.41
919.02,632.58,1376.52,872.04
918.97,629.61,1379.92,855.91
921.33,629.06,1373.82,852.53
920.77,629.08,1363.20,838.37
925.48,630.78,1357.07,857.86
923.42,630.04,1347.42,871.62
923.60,629.37,1344.38,874.10
920.78,644.78,1323.32,898.03
916.14,653.89,1325.72,875.12
926.18,656.50,1344.59,884.95
926.32,646.78,1370.36,754.41
926.77,645.27,1363.49,714.28
926.83,645.52,1351.16,710.76
925.79,643.65,1357.87,739.96
924.57,638.03,1349.97,777.74
921.30,637.30,1336.85,779.00
924.21,638.30,1334.38,784.09
922.39,633.94,1337.54,773.27
917.70,632.24,1332.08,777.96
918.75,654.88,1326.34,786.96
916.54,654.10,1324.94,797.72
918.30,656.23,1321.98,772.67
915.14,656.76,1322.56,789.04
915.79,656.43,1324.61,787.92
920.20,654.62,1326.67,785.03
923.66,654.53,1335.59,800.03
925.95,658.09,1341.88,798.60
923.45,653.76,1341.19,785.52
919.03,655.84,1331.34,790.11
909.42,656.24,1325.37,782.20
915.98,659.55,1319.47,776.08
922.77,661.51,1321.91,777.34
957.82,665.69,1320.42,769.55
971.74,663.59,1315.79,767.83
990.41,672.02,1323.39,783.71
1036.64,629.97,1334.37,777.15
1007.63,654.38,1323.08,790.10
979.22,663.27,1315.42,814.09
979.28,665.89,1306.11,744.25
951.23,645.74,1315.19,708.99
937.41,633.74,1321.14,699.55
945.08,641.64,1257.13,712.29
958.84,650.42,1255.09,755.62
978.02,679.67,1279.21,801.84
984.08,654.82,1305.35,782.29
981.09,650.46,1333.82,798.40
988.52,658.31,1336.87,790.43
989.29,656.92,1340.44,820.04
983.03,657.05,1337.49,812.28
978.85,654.38,1307.18,805.91
979.41,652.98,1312.61,771.97
978.41,658.62,1216.16,787.28
978.08,656.40,1209.33,783.79
975.91,657.23,1225.36,803.47
978.93,655.97,1222.22,829.71
978.19,654.22,1220.36,840.14
973.96,650.77,1226.76,834.64
969.72,653.18,1223.90,833.68
971.84,651.23,1226.56,837.14
971.39,652.09,1231.17,817.78
973.78,651.89,1231.53,820.60
978.02,658.03,1230.83,835.39
977.28,663.11,1232.58,819.20
975.26,658.72,1234.49,816.58
973.72,657.82,1233.53,823.38
974.44,657.83,1234.11,831.05
971.16,656.29,1233.81,834.17
972.87,655.50,1234.74,838.59
971.20,654.58,1233.37,838.32
972.37,656.05,1238.80,852.20
971.85,657.04,1238.35,853.16
973.13,656.08,1236.58,843.66
968.54,657.00,1235.07,845.27
969.91,655.32,1234.13,851.16
972.03,656.48,1236.08,862.59
973.09,657.41,1248.55,838.98
